36	2
24	116
56	19
59	25
34	169
33	168
55	18
52	17
51	16
50	15
37	14
62	13
61	12
49	11
48	10
2	24
32	159
76	158
94	154
0	0
102	38
93	149
31	148
30	145
29	143
28	142
77	164
75	139
119	137
92	134
26	127
79	181
91	122
86	99
121	98
115	97
118	96
117	95
25	119
113	93
116	92
22	91
23	111
27	141
40	88
111	86
85	85
90	109
89	107
88	106
120	80
122	104
87	103
74	102
112	81
21	82
39	79
73	78
110	77
109	75
72	74
20	73
84	72
71	71
96	162
83	69
70	68
69	67
68	66
38	65
108	64
67	63
107	62
19	61
66	60
106	59
105	58
18	57
104	56
114	55
103	54
17	53
82	52
16	51
81	50
95	160
15	49
65	48
14	47
13	46
80	45
12	44
11	43
46	42
10	41
9	40
43	9
98	8
1	7
42	6
41	5
35	4
60	3
8	39
47	1
7	37
6	36
45	35
5	34
101	33
44	32
54	31
4	30
100	29
3	28
64	27
99	26
78	174
97	173
53	23
58	22
57	21
63	20
